inchikey,restriction_list,candidate_list,authorisation_list,pops_list,eu_positive_list,harmonised_list,restriction_process,svhc_identification,authorisation_process,dossier_evaluation,clh_process,substance_evaluation,pbt_assessment,ed_assessment,reach_registrations,pesticides,sommatie_stoffen
WHHGLZMJPXIBIX-UHFFFAOYSA-N,0,1,0,1,0,0,1,1,1,0,0,0,0,0,1,0,0
WXWCDTXEKCVRRO-UHFFFAOYSA-N,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0
XOZUGNYVDXMRKW-AATRIKPKSA-N,0,1,0,0,1,1,0,1,1,1,0,0,0,0,1,0,0
CXGONMQFMIYUJR-UHFFFAOYSA-N,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
WECDUOXQLAIPQW-UHFFFAOYSA-N,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0
JANBFCARANRIKJ-UHFFFAOYSA-N,0,1,1,0,0,1,0,1,1,0,0,0,0,0,1,0,0
RMIODHQZRUFFFF-UHFFFAOYSA-N,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0
LZDKZFUFMNSQCJ-UHFFFAOYSA-N,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
RJGHQTVXGKYATR-UHFFFAOYSA-L,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0
RUDINRUXCKIXAJ-UHFFFAOYSA-N,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
OWZPCEFYPSAJFR-UHFFFAOYSA-N,0,1,0,0,0,1,0,1,0,1,0,0,0,0,1,0,0
OHLUUHNLEMFGTQ-UHFFFAOYSA-N,0,1,0,0,0,1,0,1,0,1,0,0,0,0,1,0,0
GOOHAUXETOMSMM-UHFFFAOYSA-N,0,1,0,0,1,1,0,1,0,1,1,0,0,0,1,0,0
QPQKUYVSJWQSDY-UHFFFAOYSA-N,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0
DENRZWYUOJLTMF-UHFFFAOYSA-N,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0
VAYGXNSJCAHWJZ-UHFFFAOYSA-N,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0
MRMOZBOQVYRSEM-UHFFFAOYSA-N,0,1,1,0,0,0,0,1,1,1,0,0,0,0,1,0,0
PFRYFZZSECNQOL-UHFFFAOYSA-N,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
RNVCVTLRINQCPJ-UHFFFAOYSA-N,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0
VOZKAJLKRJDJLL-UHFFFAOYSA-N,0,1,0,0,1,1,0,1,0,0,0,0,0,0,1,0,0
DMVOXQPQNTYEKQ-UHFFFAOYSA-N,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
