direct_parent_id,direct_parent_lbl,n_inchikeys,n_sources
CHEMONTID:0002402,N-acyl-alpha amino acids,18,4
CHEMONTID:0002448,Benzenoids,18,6
CHEMONTID:0003449,N-alkylpyrrolidines,18,10
CHEMONTID:0003459,Dialkyl phosphates,18,4
CHEMONTID:0003924,Phenylalkylamines,18,6
CHEMONTID:0003940,Organic oxides,18,3
CHEMONTID:0003965,Diaminotoluenes,18,8
CHEMONTID:0004164,Dithiophosphate O-esters,18,4
CHEMONTID:0004322,Proline and derivatives,18,2
CHEMONTID:0004361,Acylaminobenzoic acid and derivatives,18,3
CHEMONTID:0004491,Organic metal halides,18,3
CHEMONTID:0004662,"Phosphorodithioic acid O,O-diesters",18,3
CHEMONTID:0004700,o-Hydroxybenzoic acid esters,18,7
CHEMONTID:0000130,Azaspirodecane derivatives,17,3
CHEMONTID:0000210,Carbazoles,17,2
CHEMONTID:0000215,Sugar acids and derivatives,17,4
CHEMONTID:0000534,Metalloid oxides,17,11
CHEMONTID:0001244,Delta valerolactones,17,3
CHEMONTID:0001565,Iridoids and derivatives,17,6
CHEMONTID:0001663,Secondary carboxylic acid amides,17,5
CHEMONTID:0002334,Phenylpyrroles,17,7
CHEMONTID:0002457,Triarylamines,17,4
CHEMONTID:0003357,N-alkylpiperazines,17,5
CHEMONTID:0004157,Halomethanes,17,9
CHEMONTID:0004450,Acrylic acids and derivatives,17,7
CHEMONTID:0004647,1-hydroxy-4-unsubstituted benzenoids,17,6
CHEMONTID:0004702,p-Hydroxybenzoic acid alkyl esters,17,10
CHEMONTID:0004712,Aromatic anilides,17,4
CHEMONTID:0000033,Benzyl alcohols,16,6
CHEMONTID:0000247,Xanthines,16,4
CHEMONTID:0000526,Alkali metal oxides,16,6
CHEMONTID:0000564,Alkali metal fluorides,16,7
CHEMONTID:0001012,Cholines,16,4
CHEMONTID:0001373,Ynones,16,4
CHEMONTID:0001691,Steroid esters,16,2
CHEMONTID:0001764,Pyridinium derivatives,16,6
CHEMONTID:0001920,Triazinones,16,8
CHEMONTID:0003278,p-Methylbenzenesulfonates,16,4
CHEMONTID:0003480,Cinnamic acid esters,16,7
CHEMONTID:0003968,Dinitroanilines,16,4
CHEMONTID:0004188,Phthalocyanines,16,3
CHEMONTID:0000027,Indanes,15,4
CHEMONTID:0000058,Morphinans,15,1
CHEMONTID:0000099,Triazoles,15,7
CHEMONTID:0000178,Benzamides,15,4
CHEMONTID:0000437,Other non-metal halides,15,6
CHEMONTID:0000537,Transition metal nitrides,15,5
CHEMONTID:0000554,Other non-metal oxides,15,9
CHEMONTID:0000584,Metalloid fluorides,15,6
CHEMONTID:0002273,Hydantoins,15,4
CHEMONTID:0002552,Quinoline carboxylic acids,15,3
CHEMONTID:0002622,N-benzylpiperidines,15,2
CHEMONTID:0002651,Linear diarylheptanoids,15,9
CHEMONTID:0003100,4-halobenzoic acids and derivatives,15,3
CHEMONTID:0003314,"Phenyl-1,2,4-triazoles",15,4
CHEMONTID:0003315,"Phenyl-1,2,3-triazoles",15,13
CHEMONTID:0003410,1-benzopyrans,15,3
CHEMONTID:0003460,Trialkyl phosphates,15,13
CHEMONTID:0003862,Dialkylthioethers,15,5
CHEMONTID:0000113,Phenylhydrazines,14,4
CHEMONTID:0000326,Bipyridines and oligopyridines,14,4
CHEMONTID:0000375,Guanidines,14,6
CHEMONTID:0000530,Post-transition metal oxides,14,7
CHEMONTID:0001716,Hydroquinolones,14,3
CHEMONTID:0002951,Long-chain fatty alcohols,14,5
CHEMONTID:0003031,Pyrrolidine-2-ones,14,5
CHEMONTID:0004505,Dinitrophenols,14,7
CHEMONTID:0004612,Nitroaromatic compounds,14,4
CHEMONTID:0004646,1-hydroxy-2-unsubstituted benzenoids,14,7
CHEMONTID:0000078,Imidazoles,13,8
CHEMONTID:0000108,Oxazolidines,13,5
CHEMONTID:0000145,Coumarins and derivatives,13,4
CHEMONTID:0000147,Macrolides and analogues,13,5
CHEMONTID:0000316,Benzopyrenes,13,5
CHEMONTID:0000539,Transition metal sulfides,13,7
CHEMONTID:0000656,Alkali metal phosphates,13,2
CHEMONTID:0000739,Post-transition metal sulfates,13,10
CHEMONTID:0000764,Lanthanide nitrates,13,2
CHEMONTID:0000837,Transition metal hydroxides,13,8
CHEMONTID:0000941,Post-transition metal silicates,13,7
CHEMONTID:0001098,Bromobenzenes,13,2
CHEMONTID:0001135,Triacylglycerols,13,4
CHEMONTID:0001160,Pyridinones,13,1
CHEMONTID:0001274,Ortho cresols,13,5
CHEMONTID:0001396,Benzoxazines,13,4
CHEMONTID:0001461,Pyrethroids,13,5
CHEMONTID:0001820,Isoindolones,13,7
CHEMONTID:0001855,Phenoxazines,13,3
CHEMONTID:0002317,Phenylpyridines,13,3
CHEMONTID:0002551,Phenylpropanoic acids,13,3
CHEMONTID:0002995,Pentacarboxylic acids and derivatives,13,5
CHEMONTID:0003980,Benzyl chlorides,13,3
CHEMONTID:0003998,Organic metalloid salts,13,3
CHEMONTID:0004117,C-nitro compounds,13,7
CHEMONTID:0004150,Hydrocarbon derivatives,13,3
CHEMONTID:0004160,Trihalomethanes,13,7
CHEMONTID:0004234,Benzenesulfonyl chlorides,13,2
CHEMONTID:0004705,Pyrimidinyl-2-sulfonylureas,13,4
CHEMONTID:0000163,Caprolactams,12,4
CHEMONTID:0000186,Phenethylamines,12,2
CHEMONTID:0000306,Phenyltetrazoles and derivatives,12,5
CHEMONTID:0000315,Benzotriazoles,12,7
CHEMONTID:0000434,Homogeneous other non-metal compounds,12,9
CHEMONTID:0000444,Post-transition metal salts,12,6
CHEMONTID:0000463,Organic oxoanionic compounds,12,4
CHEMONTID:0000505,Sulfones,12,4
CHEMONTID:0001162,Carbamate esters,12,2
CHEMONTID:0001438,Organothiophosphorus compounds,12,4
CHEMONTID:0002126,P-terphenyls,12,1
CHEMONTID:0002207,O-glycosyl compounds,12,5
CHEMONTID:0002223,Butenolides,12,7
CHEMONTID:0002308,Phenylpyrimidines,12,2
CHEMONTID:0002406,Indolecarboxylic acids,12,2
CHEMONTID:0002445,Peroxycarboxylic acids and derivatives,12,5
CHEMONTID:0002484,Carboximidic acids,12,8
CHEMONTID:0003095,21-hydroxysteroids,12,1
