rank,substance,substance_name,priority_score,list_score,bio_score,n_lists,top_list_cat,echa_lists,bio_activity_labels
12,https://data.omgeving.vlaanderen.be/id/concept/chemical_substance/e0d9dc38fd15d492fb5e0180ade962a7,"1,4-dioxane",24,21,3,8,SVHC / Candidate,candidate_list|svhc_identification|restriction_process|clh_process|reach_registrations|pbt_assessment|dossier_evaluation|harmonised_list,non-polar solvent|metabolite|carcinogenic agent
13,https://data.omgeving.vlaanderen.be/id/concept/chemical_substance/f0c41ac19642419de0324a29112eec62,"1,2-Dichloroethane",24,21,3,7,SVHC / Candidate,authorisation_process|reach_registrations|svhc_identification|harmonised_list|pesticides|candidate_list|authorisation_list,mutagen|non-polar solvent|hepatotoxic agent
14,https://data.omgeving.vlaanderen.be/id/concept/chemical_substance/333eed4c589e83e0e103a329293c8b74,"2-ethylhexyl 10-ethyl-4,4-dioctyl-7-oxo-8-oxa-3,5-dithia-4-stannatetradecanoate",23,23,0,9,SVHC / Candidate,harmonised_list|authorisation_process|reach_registrations|eu_positive_list|authorisation_list|candidate_list|clh_process|dossier_evaluation|svhc_identification,
15,https://data.omgeving.vlaanderen.be/id/concept/chemical_substance/6e1298c151d6cf5776936ffe4eba3f42,"4,4'-sulfonyldiphenol",23,20,3,9,SVHC / Candidate,clh_process|substance_evaluation|ed_assessment|reach_registrations|dossier_evaluation|harmonised_list|svhc_identification|eu_positive_list|candidate_list,metabolite|endocrine disruptor
16,https://data.omgeving.vlaanderen.be/id/concept/chemical_substance/80ad0a29ea4c475aabf831a4321ef612,BBP; benzyl butyl phthalate e,23,23,0,9,SVHC / Candidate,authorisation_process|reach_registrations|candidate_list|eu_positive_list|harmonised_list|clh_process|dossier_evaluation|authorisation_list|svhc_identification,
17,https://data.omgeving.vlaanderen.be/id/concept/chemical_substance/e8185f3bbaeb71b0754889e7130de161,Dicyclohexyl phthalate,23,23,0,10,SVHC / Candidate,ed_assessment|authorisation_process|svhc_identification|dossier_evaluation|candidate_list|substance_evaluation|reach_registrations|clh_process|harmonised_list|eu_positive_list,
18,https://data.omgeving.vlaanderen.be/id/concept/chemical_substance/233fe8ee61566da6e6032bca56b0409c,"5-tert-butyl-2,4,6-trinitro-m-xylene",22,19,3,5,SVHC / Candidate,authorisation_list|authorisation_process|svhc_identification|harmonised_list|candidate_list,explosive|carcinogenic agent|fragrance
19,https://data.omgeving.vlaanderen.be/id/concept/chemical_substance/28baae1304f792ebc6c671fbe1bcd709,Potassium chromate,22,19,3,6,SVHC / Candidate,candidate_list|authorisation_process|harmonised_list|authorisation_list|reach_registrations|svhc_identification,oxidising agent|NMR chemical shift reference compound|carcinogenic agent
20,https://data.omgeving.vlaanderen.be/id/concept/chemical_substance/2ffa5453ce36b40b6708bf5d5e1374c5,"2,4-dinitrotoluene",22,22,0,6,SVHC / Candidate,restriction_process|authorisation_list|harmonised_list|authorisation_process|candidate_list|svhc_identification,
21,https://data.omgeving.vlaanderen.be/id/concept/chemical_substance/392b4528674d8f5697c65410444d4789,Bis(pentabromophenyl) ether,22,20,2,6,SVHC / Candidate,pops_list|reach_registrations|authorisation_process|restriction_process|svhc_identification|candidate_list,neurotoxin
