substance,substance_name,priority_score,list_score,bio_score,n_lists,top_list_cat,echa_lists,bio_activity_labels
https://data.omgeving.vlaanderen.be/id/concept/chemical_substance/b844aa40c580fb3cf22926ef0615d2cf,"gallic acid, octyl ester",3,3,0,2,Harmonised / CLP,eu_positive_list|harmonised_list,food antioxidant|hypoglycemic agent|plant metabolite
https://data.omgeving.vlaanderen.be/id/concept/chemical_substance/b84ee8ad6960aa2fb8dd1baf9dd43dd1,Fenuron,3,2,1,2,Pesticides,reach_registrations|pesticides,herbicide|agrochemical|photosystem-II inhibitor|xenobiotic|environmental contaminant
https://data.omgeving.vlaanderen.be/id/concept/chemical_substance/b90ab1b76cbf59c0363dda32ff4c8eae,4-chlorophenyl isocyanate,3,3,0,3,Harmonised / CLP,harmonised_list|reach_registrations|dossier_evaluation,
https://data.omgeving.vlaanderen.be/id/concept/chemical_substance/b9bd93f8b90b6fb9f846770983879b84,TCPM,3,0,3,1,Other,reach_registrations,persistent organic pollutant
https://data.omgeving.vlaanderen.be/id/concept/chemical_substance/b9e30eeaacb398201c7602c1d1440986,Piperonal,3,3,0,3,Harmonised / CLP,reach_registrations|clh_process|dossier_evaluation,plant metabolite|insect repellent|fragrance
https://data.omgeving.vlaanderen.be/id/concept/chemical_substance/ba4c4b60dc55306473a5b90f6f8303ee,"N,N'-diphenyl-p-phenylenediamine",3,3,0,3,Harmonised / CLP,harmonised_list|dossier_evaluation|reach_registrations,antioxidant
https://data.omgeving.vlaanderen.be/id/concept/chemical_substance/ba8c55a433be5e3173e2553e9f26d7c7,Piperidine,3,3,0,3,Harmonised / CLP,dossier_evaluation|harmonised_list|reach_registrations,reagent|catalyst|base|non-polar solvent|human metabolite|protic solvent|plant metabolite
https://data.omgeving.vlaanderen.be/id/concept/chemical_substance/bab4dbfc71976ce3929bcdc025e85d28,Molybdenum trioxide,3,3,0,3,Harmonised / CLP,reach_registrations|harmonised_list|dossier_evaluation,
https://data.omgeving.vlaanderen.be/id/concept/chemical_substance/babc232b4487bae778d88f7c0d379cd6,2-(2-hexyloxyethoxy)ethanol,3,3,0,3,Harmonised / CLP,dossier_evaluation|reach_registrations|harmonised_list,
https://data.omgeving.vlaanderen.be/id/concept/chemical_substance/bbc380283d12b8ee019f0021bd0416fa,"2,2-bis(chloromethyl)trimethylene bis(bis(2-chloroethyl)phosphate)",3,3,0,3,Harmonised / CLP,reach_registrations|dossier_evaluation|clh_process,
https://data.omgeving.vlaanderen.be/id/concept/chemical_substance/bbfc8ac832aadb1b257dd155bce29a0d,Acetonitrile,3,3,0,3,Harmonised / CLP,harmonised_list|reach_registrations|dossier_evaluation,polar aprotic solvent|EC 3.5.1.4 (amidase) inhibitor
https://data.omgeving.vlaanderen.be/id/concept/chemical_substance/bca32f3be81294d2a55d901fe3dcd34c,2-(4-methylcyclohex-3-en-1-yl)propan-2-ol,3,3,0,3,Harmonised / CLP,clh_process|dossier_evaluation|reach_registrations,plant metabolite
https://data.omgeving.vlaanderen.be/id/concept/chemical_substance/bcf181e3868f4cd85b6a26c5a8dd9cef,"1,2-dimethylimidazole",3,3,0,3,Harmonised / CLP,dossier_evaluation|harmonised_list|reach_registrations,
