substance_name,best_match,score_1
"2-(4-nitrophenyl)-6-tert-butyl-1H-pyrazolo[1,5-b][1,2,4]triazole","1,2,4-triazolo[4,3-a][1,4]benzodiazepines",0.9478334935806074
"sodium 4,4-dimethyl-2,5-dioxoimidazolidin-1-ide","1,2,4-triazolopyrimidine-2-sulfonanilides",0.9477991749100362
Magnesium salt of C11-C13 alkenyldicarboxylic acid ester,Dithiocarboxylic acid esters,0.9476955744312598
Substituted anthraquinone compound,Hydroxyanthraquinones,0.9476005402764095
"4-Nonylphenol, branched and linear, ethoxylated",2-polyprenyl-6-methoxyphenols,0.9475817198289409
disodium salts of sulfonated anthraquinone,2-naphthalene sulfonic acids and derivatives,0.9475590664191248
Ammonium (xylenes and 4-ethylbenzene)sulfonates,p-Methylbenzenesulfonates,0.9474699547684553
"1,2-Benzenediol, 3,5-dialkyl-, 1,2-dicarboxylate","1,2-dithiolanecarboxylic acids",0.947449881943277
"2,6,6-trimethylcyclohexa-1,3-dienecarbonitrile","Benzoylcyclohexane-1,3-diones",0.9473957756155681
Lithium salt of branched-aliphatic dicarboxylic acid,Organic thiocarbonic acid derivatives,0.9473669002156084
"2,5-Furandione, dihydro-, mono-C15-20-alkenyl derivs.","4,5-epoxy-10-normorphinans",0.9472759671813974
Tributyl(ethyl)phosphonium diphenyl phosphate,Phenyl ethylphosphonothioates,0.9472543155097336
"Bis(C14-C15)alkyl-2,3-dihydroxybutandioate","1,4-dihydroxy-2-halobenzenoids",0.9470427240163692
reaction mass of isomers of: α-((dimethyl)biphenyl)-ω-hydroxypoly(oxyethylene),2-polyprenyl-6-methoxyphenols,0.9470237272693451
N-phenyl-N’-isohexyl-p-phenylenediamine,N-benzoyl-N'-phenylureas,0.9469578489213762
di-alkyl-benzenesulfonic acid,2-sulfobenzoic acids,0.9469317121525612
"Polyphosphoric acids, esters with castor oil",Thiophosphoric acid esters,0.9469114805829452
"Benzoic acid, C12-15-alkyl esters",Benzoic acid esters,0.9468662282387019
"Phosphorodithioic acid, mixed O,O-bis(iso-Bu and pentyl) esters, zinc salts","Phosphorodithioic acid O,O-diesters",0.9468357317222285
"1,3-Benzenedimethanamine, N-(2-phenylethyl) derivs.","N,N-dialkyl-p-toluamides",0.9467644913811523
"(Z)-5-Amino-α-(methoxyimino)-1,2,4-thiadiazole-3-acetic acid","2-amino-5-substituted-1,3,4-thiadiazoles",0.9467579441013083
Boron silicate,Actinide silicates,0.9467522119074085
N-benzyl-N-alkyl(dialkyl(alkenyl)silyl)amine,N-alkyl-O-phenylhydroxylamines,0.946447705607254
Chromium VI compounds,Organic chromium salts,0.94644341252483
"Phosphonic acid, (4-morpholinylmethylene)bis-, tetraethyl ester",Ceramide 2-N-methylaminoethylphosphonates,0.9464425136124586
"4-heptylphenol, branched and linear",4-alkoxyphenols,0.9464354078739186
"3-Butoxy-7-ethoxy-4,6-difluoro-dibenzothiophene","1,4-dihydroxy-2-halobenzenoids",0.9464032711643745
A mixture of isomers of: α-((dimethyl)biphenyl)-ω-hydroxypoly(oxyethylene),2-polyprenyl-6-methoxyphenols,0.946396724373724
N-Phenyl-N-benzyl-N’-(N-methyl)piperidylazine acetate,N-benzoyl-N'-phenylureas,0.946186121046519
Methyl trans-3-oxo-2-pentylcyclopentanecarboxylate,1-aminocyclopropane-1-carboxylic acids,0.9459060788440493
"Trans-2,6-dimethylindan-1-amine","2,2-dimethyl-1-benzopyrans",0.9458859104488105
[mesitylimino-dialkoxy-oxo-heteropolycyclyl]acetonitrile,Phenylpiperazinyl-cyclohexylsulfonamides,0.9458102529006993
"Benzenesulfonic acid, C16-24-alkyl derivs.",4-arylsulfanyl-substituted kainoids,0.9458097199054897
3(3-Benzyloxycarbonyl-methyl)-2-benzothiazolinone (Benzolinone),2-amino-3-benzoylthiophenes,0.9458009154996514
"5-(C11-C12 alkyl, branched)-2-hydroxy-benzaldehyde oxime","2-amino-3-aroyl-4,5-alkylthiophenes",0.945718716724668
"Reaction mass of substituted-(naphthalen-1-methyl)heteromonocyclic chloride and propane-1,2-diol","Polyprenylbenzene-1,2-diols",0.9456952387213192
Methyldiacetoxyisopropoxy silane,Methoxyphenylisopropylamines,0.9456873710914327
"Benzenesulfonic acid, di-C10-14-alkyl derivs.","1,2-allenyl phenyl sulfoxides",0.9456869495387263
S-2-amino-3-(4-hydroxyphenyl) propanal semicarbazone HCl,(S)-3-hydroxy-3-alkylglutaryl CoAs,0.9456619727109263
"5,6-diethylindan-2-aminium chloride","5-Benzylpyrimidine-2,4-diamines",0.9455796997531594
Benzidine and its salts,Phenazines and derivatives,0.9455616477037567
"1,3,5-tri-(2-hydroxyethyl)-hexa-hydro-s-triazyne","1,4-dihydroxy-2-halobenzenoids",0.9455454339428966
Organosulphide,Organosulfenic acids,0.9454510473518271
Reaction product of alkylbenzenesulphonic acid with cycloaliphatic amine,Cyclic dithiocarbamic acid esters,0.9454288382282517
"Reaction products of diazotized disodium 4-amino-3,6-bis[(4-aminophenyl)azo]-5-hydroxynaphthalene-2,7-disulphonate, coupled with m-phenylenediamine","2-amino-3-aroyl-4,5-alkylthiophenes",0.9454118577730082
Sodium (xylenes and 4-ethylbenzene)sulfonates,p-Methylbenzenesulfonates,0.9454064279978529
N-ethyl-2-nitrobenzylsulfonamide,N-acetyl-2-arylethylamines,0.9453780871264499
"1H, 3H, 5H-Oxazolo[3,4-c]oxazole, 3,5-didecyldihydro-7a-methyl","Imidazo[5,1-d]-1,2,3,5-tetrazines",0.9453637219908746
"Terpenes and terpenoids, turpentine-oil, α-pinene fraction, oligomers","Taraxerane, multiflorane, glutinane and friedelane triterpenoids",0.9453237725482395
Polycyclic aromatic hydrocarbons (PAH),Polycyclic hydrocarbons,0.9453059358245338
alkyl substituted aryl diazo heterocyclic aryl ester,1-carboxy-2-haloaromatic compounds,0.9452727613796302
Polycyclic-aromatic hydrocarbons (PAH),Polycyclic hydrocarbons,0.945250314681787
Nonylphenol ethoxylate,Methoxyphenols,0.9452020054423418
"(6Z)-6-(hydroxyimino)-5,6-dihydroimidazo[4,5,1-jk][1]benzazepine-2,7(1H,4H)-dione","Imidazo[5,1-d]-1,2,3,5-tetrazines",0.9450926646413648
"Benzenesulfonic acid, C10-16-alkyl derivs.",4-arylsulfanyl-substituted kainoids,0.9450201660959868
"Phosphoric acid, isotridecyl esters",Thiophosphoric acid esters,0.9450055336902936
4-methylaminopiperidine dihydrobromide,Dimethoxybenzyl-N-methylpiperazines,0.9450020584881599
"Branched and linear mono-C20,22,24 and di-C10-13 alkyl benzenesulfonicacids and petroleum sulfonic acids","1,1-diunsubstituted alkanesulfonic acids and derivatives",0.9449771570855034
Polycyclic aromatic hydrocarbons (PAHs),Polycyclic hydrocarbons,0.944960300187445
"formaldehyde-2,4,6-triamino-1,3,5-triazine, copolymer","1,3,5-triazine-2,4-diamines",0.9449525970756414
(2-ethylhexyl)(hydrogenated tallow alkyl)methylamines,N-alkyl-O-phenylhydroxylamines,0.9449303276275702
Compounds of alkylphosphates and amine,Organic thiophosphoric acids and derivatives,0.944903865138246
undecafluorohexanoic acid and its inorganic salts,Perfluorooctane phosphonic acid and derivatives,0.9448422172317409
"Anthra[9,1,2-cde]benzo[rst]pentaphene-5,10-dione, bromo derivatives","2-aminothieno[3,4-c]pyridazines",0.9448380459780799
