substance,substance_name,priority_score,list_score,bio_score,n_lists,top_list_cat,has_bio,quadrant
https://data.omgeving.vlaanderen.be/id/concept/chemical_substance/46f2e4f99f7f33fc152bebd088b66933,Sodium chromate,22,19,3,6,SVHC / Candidate,TRUE,Q1: broad regulation & ChEBI hazard evidence
https://data.omgeving.vlaanderen.be/id/concept/chemical_substance/4b66a2a78c5de5f5266c539992e86ce1,"2,2',6,6'-tetrabromo-4,4'-isopropylidenediphenol",22,22,0,9,SVHC / Candidate,FALSE,Q3: broad regulation & no ChEBI evidence
https://data.omgeving.vlaanderen.be/id/concept/chemical_substance/659c91fde24e0aa40bc46b57d7ff6bd5,4-tert-butylphenol,22,20,2,9,SVHC / Candidate,TRUE,Q1: broad regulation & ChEBI hazard evidence
https://data.omgeving.vlaanderen.be/id/concept/chemical_substance/882e3ff83c6d79e8fc48c5d9a19a596a,"Diphenyl(2,4,6-trimethylbenzoyl)phosphine oxide",22,22,0,9,SVHC / Candidate,FALSE,Q3: broad regulation & no ChEBI evidence
https://data.omgeving.vlaanderen.be/id/concept/chemical_substance/98d4b5ae0939135d856c8a157e358f84,Lead chromate,22,19,3,5,SVHC / Candidate,TRUE,Q1: broad regulation & ChEBI hazard evidence
https://data.omgeving.vlaanderen.be/id/concept/chemical_substance/b4256babceab99a12a69273e87a3f5bf,Bis (2-ethylhexyl)phthalate (DEHP),22,22,0,8,SVHC / Candidate,FALSE,Q3: broad regulation & no ChEBI evidence
https://data.omgeving.vlaanderen.be/id/concept/chemical_substance/d46ae30213f19cf1a2fb48361a915e0f,Octamethylcyclotetrasiloxane,22,22,0,9,SVHC / Candidate,FALSE,Q3: broad regulation & no ChEBI evidence
https://data.omgeving.vlaanderen.be/id/concept/chemical_substance/dad378caf9d8ccf34c37da98a6e61bfd,1-bromopropane,22,20,2,7,SVHC / Candidate,TRUE,Q1: broad regulation & ChEBI hazard evidence
https://data.omgeving.vlaanderen.be/id/concept/chemical_substance/028b3f1374d150a3a77cda9689311752,Sodium peroxometaborate,21,21,0,6,SVHC / Candidate,FALSE,Q3: broad regulation & no ChEBI evidence
https://data.omgeving.vlaanderen.be/id/concept/chemical_substance/07f064cd18ac943d8f15062e653949e3,Cadmium nitrate,21,15,6,6,SVHC / Candidate,TRUE,Q1: broad regulation & ChEBI hazard evidence
https://data.omgeving.vlaanderen.be/id/concept/chemical_substance/378ef018aaaa1843002c7a29970532fd,Potassium dichromate,21,19,2,6,SVHC / Candidate,TRUE,Q1: broad regulation & ChEBI hazard evidence
https://data.omgeving.vlaanderen.be/id/concept/chemical_substance/88cf6365bb44fd789272eecbe07880fc,2-methyl-1-(4-methylthiophenyl)-2-morpholinopropan-1-one,21,21,0,8,SVHC / Candidate,FALSE,Q3: broad regulation & no ChEBI evidence
https://data.omgeving.vlaanderen.be/id/concept/chemical_substance/91da30b87538382b9aca96142fdb3235,"2,2'-dichloro-4,4'-methylenedianiline",21,21,0,8,SVHC / Candidate,FALSE,Q3: broad regulation & no ChEBI evidence
https://data.omgeving.vlaanderen.be/id/concept/chemical_substance/bbdc2c9cdbbd66696388c06ef18b0385,2-ethoxyethanol,21,18,3,7,SVHC / Candidate,TRUE,Q1: broad regulation & ChEBI hazard evidence
https://data.omgeving.vlaanderen.be/id/concept/chemical_substance/ea31fd415b2ecf672d09694bc4908bcd,Dihexyl phthalate,21,21,0,6,SVHC / Candidate,FALSE,Q3: broad regulation & no ChEBI evidence
https://data.omgeving.vlaanderen.be/id/concept/chemical_substance/fdd665fa2584ae23a642ccb44e12fa9a,"2,4-di-tert-butyl-6-(5-chlorobenzotriazol-2-yl)phenol",21,21,0,6,SVHC / Candidate,FALSE,Q3: broad regulation & no ChEBI evidence
https://data.omgeving.vlaanderen.be/id/concept/chemical_substance/1a3f8734a27faa995b96c1df7fc518c5,Chromium trioxide,20,20,0,7,SVHC / Candidate,FALSE,Q3: broad regulation & no ChEBI evidence
https://data.omgeving.vlaanderen.be/id/concept/chemical_substance/317c15b56a6bc3ce25d3818fa2d90bc8,Hexane,20,18,2,8,SVHC / Candidate,TRUE,Q1: broad regulation & ChEBI hazard evidence
https://data.omgeving.vlaanderen.be/id/concept/chemical_substance/465bb8affc7d62819fadb15760d90581,Diarsenic trioxide,20,20,0,7,SVHC / Candidate,FALSE,Q3: broad regulation & no ChEBI evidence
https://data.omgeving.vlaanderen.be/id/concept/chemical_substance/4a5e5c0d019e14250687f43a6ea9d6f5,Boric acid,20,20,0,8,SVHC / Candidate,FALSE,Q3: broad regulation & no ChEBI evidence
https://data.omgeving.vlaanderen.be/id/concept/chemical_substance/4f4a4560abe403f93b2ef309ac19b125,Bis(2-methoxyethyl) phthalate,20,20,0,6,SVHC / Candidate,FALSE,Q3: broad regulation & no ChEBI evidence
https://data.omgeving.vlaanderen.be/id/concept/chemical_substance/69eda6dcb8baefaa4bb02d0729b4f9fe,Pentadecafluorooctanoic acid,20,14,6,4,SVHC / Candidate,TRUE,Q1: broad regulation & ChEBI hazard evidence
https://data.omgeving.vlaanderen.be/id/concept/chemical_substance/83a75986b8948b4c4f9e39cf9c2e9f15,"1,5-pentandial (glutaraldehyde)",20,20,0,8,SVHC / Candidate,FALSE,Q3: broad regulation & no ChEBI evidence
https://data.omgeving.vlaanderen.be/id/concept/chemical_substance/a39d01215294f21d127c20ff532fd5b6,C.I. Pigment Red 104 (or: lead chromate/molybdate/sulfate; C.I. No. 77605),20,20,0,7,SVHC / Candidate,FALSE,Q3: broad regulation & no ChEBI evidence
https://data.omgeving.vlaanderen.be/id/concept/chemical_substance/b393b4b078e5969dc9d8a64bb748b167,Trichloroethylene,20,20,0,7,SVHC / Candidate,FALSE,Q3: broad regulation & no ChEBI evidence
https://data.omgeving.vlaanderen.be/id/concept/chemical_substance/da58d1599416bec726fe5b70624c6e65,2-(2H-benzotriazol-2-yl)-4-(tert-butyl)-6-(sec-butyl)phenol,20,20,0,5,SVHC / Candidate,FALSE,Q3: broad regulation & no ChEBI evidence
https://data.omgeving.vlaanderen.be/id/concept/chemical_substance/dd57b9d79a8f89ad2312367e3c314fc7,Tris(2-chloroethyl) phosphate,20,20,0,7,SVHC / Candidate,FALSE,Q3: broad regulation & no ChEBI evidence
https://data.omgeving.vlaanderen.be/id/concept/chemical_substance/f0a9d43e005c3910c32177b83c23574d,"Bis(α,α-dimethylbenzyl) peroxide",20,20,0,9,SVHC / Candidate,FALSE,Q3: broad regulation & no ChEBI evidence
https://data.omgeving.vlaanderen.be/id/concept/chemical_substance/f6cab318857b8409783f2f74595ee172,Strontium chromate,20,20,0,7,SVHC / Candidate,FALSE,Q3: broad regulation & no ChEBI evidence
https://data.omgeving.vlaanderen.be/id/concept/chemical_substance/1fdb9a01a2663c792e45a722eb2d352f,Lead sulfochromate yellow,19,19,0,6,SVHC / Candidate,FALSE,Q3: broad regulation & no ChEBI evidence
https://data.omgeving.vlaanderen.be/id/concept/chemical_substance/468c1c7a23f6ea7feb3040a3e7199c83,Formaldehyde,19,14,5,8,SVHC / Candidate,TRUE,Q1: broad regulation & ChEBI hazard evidence
https://data.omgeving.vlaanderen.be/id/concept/chemical_substance/51d939b1ff5ac57b26fa4ea54c3a995a,"1,2-Benzenedicarboxylic acid, dipentyl ester, branched and linear",19,19,0,5,SVHC / Candidate,FALSE,Q3: broad regulation & no ChEBI evidence
https://data.omgeving.vlaanderen.be/id/concept/chemical_substance/63d9c91331f6ca85f606b5c676aabc27,"1,2-Benzenedicarboxylic acid, di-C7-11-branched and linear alkyl esters",19,19,0,5,SVHC / Candidate,FALSE,Q3: broad regulation & no ChEBI evidence
https://data.omgeving.vlaanderen.be/id/concept/chemical_substance/6e94fe58ca01a9721f2af4c3ff15f8aa,Lead,19,17,2,6,SVHC / Candidate,TRUE,Q1: broad regulation & ChEBI hazard evidence
https://data.omgeving.vlaanderen.be/id/concept/chemical_substance/7ed48582f0a9048a534735816ec376da,"2,4,6-tri-tert-butylphenol",19,19,0,8,SVHC / Candidate,FALSE,Q3: broad regulation & no ChEBI evidence
https://data.omgeving.vlaanderen.be/id/concept/chemical_substance/b921429e35d3c6c855f689ecfb715479,Dipentyl phthalate,19,19,0,5,SVHC / Candidate,FALSE,Q3: broad regulation & no ChEBI evidence
https://data.omgeving.vlaanderen.be/id/concept/chemical_substance/be053522f1c21818f2940d513c794b41,Dichromium tris(chromate),19,19,0,6,SVHC / Candidate,FALSE,Q3: broad regulation & no ChEBI evidence
https://data.omgeving.vlaanderen.be/id/concept/chemical_substance/c7e324d66b16a4cfdf57cd019da7da30,Bis(2-methoxyethyl) ether,19,19,0,6,SVHC / Candidate,FALSE,Q3: broad regulation & no ChEBI evidence
https://data.omgeving.vlaanderen.be/id/concept/chemical_substance/cb12ed6c668034172715a71f3eb0745a,Diarsenic pentaoxide,19,19,0,5,SVHC / Candidate,FALSE,Q3: broad regulation & no ChEBI evidence
https://data.omgeving.vlaanderen.be/id/concept/chemical_substance/d037c9f8c5d294b803a1abd7e6a45bf5,Diisopentyl phthalate,19,19,0,6,SVHC / Candidate,FALSE,Q3: broad regulation & no ChEBI evidence
https://data.omgeving.vlaanderen.be/id/concept/chemical_substance/efe4511c8703b644933ba611940e2f3c,"Benzene-1,2,4-tricarboxylic acid 1,2 anhydride",19,17,2,7,SVHC / Candidate,TRUE,Q1: broad regulation & ChEBI hazard evidence
https://data.omgeving.vlaanderen.be/id/concept/chemical_substance/fd80d60e645043d4ba3c0c7fc71c1c44,Ammonium dichromate,19,19,0,6,SVHC / Candidate,FALSE,Q3: broad regulation & no ChEBI evidence
https://data.omgeving.vlaanderen.be/id/concept/chemical_substance/18ceebb539c3520af33f1de292aec85a,Hexahydromethylphthalic anhydride,18,16,2,6,SVHC / Candidate,TRUE,Q1: broad regulation & ChEBI hazard evidence
https://data.omgeving.vlaanderen.be/id/concept/chemical_substance/25e26a0ac406fcdd36969977d8b0c7fc,Diethyl sulphate,18,12,6,4,SVHC / Candidate,TRUE,Q1: broad regulation & ChEBI hazard evidence
https://data.omgeving.vlaanderen.be/id/concept/chemical_substance/2b453f1002ed67f15421f5795da731fe,"4,4'-bis(dimethylamino)-4''-(methylamino)trityl alcohol",18,18,0,6,SVHC / Candidate,FALSE,Q3: broad regulation & no ChEBI evidence
https://data.omgeving.vlaanderen.be/id/concept/chemical_substance/2d9e1721f46c7949fdd3d28710292b82,Cobalt dichloride,18,16,2,6,SVHC / Candidate,TRUE,Q1: broad regulation & ChEBI hazard evidence
https://data.omgeving.vlaanderen.be/id/concept/chemical_substance/2f4b7a7880329410c73ea29e8ccbf416,2-benzyl-2-dimethylamino-4'-morpholinobutyrophenone,18,18,0,7,SVHC / Candidate,FALSE,Q3: broad regulation & no ChEBI evidence
https://data.omgeving.vlaanderen.be/id/concept/chemical_substance/6f2ec043475bd52faf2a7a1db21d16b4,2-(2′-hydroxy-3′-tert-butyl-5′-methylphenyl)-5-chlorobenzo­triazole,18,18,0,7,SVHC / Candidate,FALSE,Q3: broad regulation & no ChEBI evidence
https://data.omgeving.vlaanderen.be/id/concept/chemical_substance/6f9d8b011bdfe0df09dc7d9814c111f0,"Cyclohexane-1,2-dicarboxylic anhydride",18,16,2,6,SVHC / Candidate,TRUE,Q1: broad regulation & ChEBI hazard evidence
https://data.omgeving.vlaanderen.be/id/concept/chemical_substance/742bf4f6120bc008e95e1e5d2ed81cc8,Tetraethyllead,18,18,0,6,SVHC / Candidate,FALSE,Q3: broad regulation & no ChEBI evidence
https://data.omgeving.vlaanderen.be/id/concept/chemical_substance/d289bea0caeeb6af9926cc49f13c9e7c,"Disodium tetraborate, anhydrous",18,18,0,7,SVHC / Candidate,FALSE,Q3: broad regulation & no ChEBI evidence
https://data.omgeving.vlaanderen.be/id/concept/chemical_substance/efa55669a79795cb4c4899cc4ed34290,Triphenyl phosphate,18,18,0,7,SVHC / Candidate,FALSE,Q3: broad regulation & no ChEBI evidence
https://data.omgeving.vlaanderen.be/id/concept/chemical_substance/f7c37cacc0fbcd79a12eb889cbe54cb3,Decamethylcyclopentasiloxane,18,18,0,7,SVHC / Candidate,FALSE,Q3: broad regulation & no ChEBI evidence
https://data.omgeving.vlaanderen.be/id/concept/chemical_substance/f8c78175e759e34ea1ec73c5ca64894c,Barium diboron tetraoxide,18,18,0,7,SVHC / Candidate,FALSE,Q3: broad regulation & no ChEBI evidence
https://data.omgeving.vlaanderen.be/id/concept/chemical_substance/0ca5c7fd2c7fd4b49eeaed59433dc3a4,Diisohexyl phthalate,17,17,0,5,SVHC / Candidate,FALSE,Q3: broad regulation & no ChEBI evidence
https://data.omgeving.vlaanderen.be/id/concept/chemical_substance/14fd732345f203b168a145b147108017,Nitrobenzene,17,17,0,6,SVHC / Candidate,FALSE,Q3: broad regulation & no ChEBI evidence
https://data.omgeving.vlaanderen.be/id/concept/chemical_substance/195b05a7120a1d354f7ccbc334018703,"1,3,5-Tris(oxiran-2-ylmethyl)-1,3,5-triazinane-2,4,6-trione (TGIC)",17,17,0,7,SVHC / Candidate,FALSE,Q3: broad regulation & no ChEBI evidence
https://data.omgeving.vlaanderen.be/id/concept/chemical_substance/378d665804f8e357588fb2a2ef57d148,n-pentyl-isopentyl phthalate,17,17,0,4,SVHC / Candidate,FALSE,Q3: broad regulation & no ChEBI evidence
https://data.omgeving.vlaanderen.be/id/concept/chemical_substance/61d667379909df2dc7c381a91ff3af6a,Arsenic acid,17,17,0,5,SVHC / Candidate,FALSE,Q3: broad regulation & no ChEBI evidence
https://data.omgeving.vlaanderen.be/id/concept/chemical_substance/62f1a4c6d3282ab308edb2328c4b48c2,Disodium octaborate,17,17,0,6,SVHC / Candidate,FALSE,Q3: broad regulation & no ChEBI evidence
https://data.omgeving.vlaanderen.be/id/concept/chemical_substance/92f95709d9593139378e2a767c567f65,"2,2′-methylene bis(4-methyl-6-tert-butylphenol)",17,17,0,8,SVHC / Candidate,FALSE,Q3: broad regulation & no ChEBI evidence
https://data.omgeving.vlaanderen.be/id/concept/chemical_substance/953545370abd73e8b8738f8a2e7d019d,"2-benzotriazol-2-yl-4,6-di-tert-butylphenol",17,17,0,4,SVHC / Candidate,FALSE,Q3: broad regulation & no ChEBI evidence
https://data.omgeving.vlaanderen.be/id/concept/chemical_substance/9636b2e7bc1c4dfeb9813dae13aabe81,Clofenotane,17,8,9,3,POP,TRUE,Q1: broad regulation & ChEBI hazard evidence
https://data.omgeving.vlaanderen.be/id/concept/chemical_substance/98910f8d22c11b6cd543e09e6dac1c5d,Pentazinc chromate octahydroxide,17,17,0,5,SVHC / Candidate,FALSE,Q3: broad regulation & no ChEBI evidence
https://data.omgeving.vlaanderen.be/id/concept/chemical_substance/a96a6aa1855ab1cc0ada2326f0f922fe,"C,C'-azodi(formamide)",17,17,0,7,SVHC / Candidate,FALSE,Q3: broad regulation & no ChEBI evidence
https://data.omgeving.vlaanderen.be/id/concept/chemical_substance/b41f402a7738fd551f1791d3107fef73,Ethylenediamine,17,17,0,7,SVHC / Candidate,FALSE,Q3: broad regulation & no ChEBI evidence
https://data.omgeving.vlaanderen.be/id/concept/chemical_substance/b7a53b468cce28d71b281f712a97da19,Potassium hydroxyoctaoxodizincatedichromate,17,17,0,5,SVHC / Candidate,FALSE,Q3: broad regulation & no ChEBI evidence
https://data.omgeving.vlaanderen.be/id/concept/chemical_substance/bfd67f976abc472ea36cb632fbda2dfc,Dodecamethylcyclohexasiloxane,17,17,0,6,SVHC / Candidate,FALSE,Q3: broad regulation & no ChEBI evidence
https://data.omgeving.vlaanderen.be/id/concept/chemical_substance/e251eee711ebe4f535092b68e421c078,2-methoxyethanol,17,17,0,7,SVHC / Candidate,FALSE,Q3: broad regulation & no ChEBI evidence
https://data.omgeving.vlaanderen.be/id/concept/chemical_substance/fb397896b30b874f452e2bd3cd663b0c,"2-(2H-benzotriazol-2-yl)-4-(1,1,3,3-tetramethylbutyl)phenol",17,17,0,6,SVHC / Candidate,FALSE,Q3: broad regulation & no ChEBI evidence
https://data.omgeving.vlaanderen.be/id/concept/chemical_substance/fbf0a0848f0058e0e63ae6a6d090ecb7,Dichloromethane,17,14,3,8,Restriction,TRUE,Q1: broad regulation & ChEBI hazard evidence
https://data.omgeving.vlaanderen.be/id/concept/chemical_substance/130550e76919c522ad7fb609cbf1f1ea,Cobalt carbonate,16,16,0,6,SVHC / Candidate,FALSE,Q3: broad regulation & no ChEBI evidence
https://data.omgeving.vlaanderen.be/id/concept/chemical_substance/26c7ea226cd2d56f460b9b0d5b10973d,Methyloxirane,16,16,0,7,SVHC / Candidate,FALSE,Q3: broad regulation & no ChEBI evidence
https://data.omgeving.vlaanderen.be/id/concept/chemical_substance/41063b28917ec642869e115c357bc6df,"1,1-Dichloroethene",16,10,6,6,Restriction,TRUE,Q1: broad regulation & ChEBI hazard evidence
https://data.omgeving.vlaanderen.be/id/concept/chemical_substance/4dfc393d2120849abcbd82e3d4dff863,"4-(1,1,3,3-tetramethylbutyl)phenol",16,16,0,6,SVHC / Candidate,FALSE,Q3: broad regulation & no ChEBI evidence
https://data.omgeving.vlaanderen.be/id/concept/chemical_substance/707063febdeb80bc84756322148c307f,Cobalt dinitrate,16,16,0,6,SVHC / Candidate,FALSE,Q3: broad regulation & no ChEBI evidence
https://data.omgeving.vlaanderen.be/id/concept/chemical_substance/79026d890cf5c7f683746b1016b77687,Pyrene,16,13,3,4,SVHC / Candidate,TRUE,Q1: broad regulation & ChEBI hazard evidence
https://data.omgeving.vlaanderen.be/id/concept/chemical_substance/8826442d356c09ecd5c37832ea1251b5,Triclosan,16,10,6,6,PBT,TRUE,Q1: broad regulation & ChEBI hazard evidence
https://data.omgeving.vlaanderen.be/id/concept/chemical_substance/902fba281fc0fa257f3123a2dbc7d304,"4,4′-dichlorodiphenyl sulfone",16,16,0,7,SVHC / Candidate,FALSE,Q3: broad regulation & no ChEBI evidence
https://data.omgeving.vlaanderen.be/id/concept/chemical_substance/94c7b3cccf526d84829d06893142419c,Cobalt sulphate,16,16,0,6,SVHC / Candidate,FALSE,Q3: broad regulation & no ChEBI evidence
https://data.omgeving.vlaanderen.be/id/concept/chemical_substance/a0b33e2de317a5b37e35e923ea57268f,2-(dimethylamino)-2-[(4-methylphenyl)methyl]-1-[4-(morpholin-4-yl)phenyl]butan-1-one,16,16,0,6,SVHC / Candidate,FALSE,Q3: broad regulation & no ChEBI evidence
https://data.omgeving.vlaanderen.be/id/concept/chemical_substance/af82e264ed781dcaa2199e1b43abc2b4,Ethylene oxide,16,11,5,7,ED,TRUE,Q1: broad regulation & ChEBI hazard evidence
https://data.omgeving.vlaanderen.be/id/concept/chemical_substance/b93a759552e1db604d11dff4b345de9f,4-t-Pentylphenol,16,16,0,6,SVHC / Candidate,FALSE,Q3: broad regulation & no ChEBI evidence
https://data.omgeving.vlaanderen.be/id/concept/chemical_substance/d05b378f146889539aaa35dba7e8bb12,Cobalt di(acetate),16,16,0,6,SVHC / Candidate,FALSE,Q3: broad regulation & no ChEBI evidence
https://data.omgeving.vlaanderen.be/id/concept/chemical_substance/dbbaac1aa4c1cdf8e7bc4dd88c69f2af,"S-(tricyclo(5.2.1.0'2,6)deca-3-en-8(or 9)-yl O-(isopropyl or isobutyl or 2-ethylhexyl) O-(isopropyl or isobutyl or 2-ethylhexyl) phosphorodithioate",16,16,0,6,SVHC / Candidate,FALSE,Q3: broad regulation & no ChEBI evidence
https://data.omgeving.vlaanderen.be/id/concept/chemical_substance/f9527e0ed0b54bf434173d5092ae2051,Chloroethene,16,13,3,6,SVHC / Candidate,TRUE,Q1: broad regulation & ChEBI hazard evidence
https://data.omgeving.vlaanderen.be/id/concept/chemical_substance/0662fc988b66761f4ee8d026a1cf6e38,Biphenyl-4-ylamine,15,12,3,3,SVHC / Candidate,TRUE,Q1: broad regulation & ChEBI hazard evidence
https://data.omgeving.vlaanderen.be/id/concept/chemical_substance/0c0a7d3358bc5c97b637386c82f02231,N-(hydroxymethyl)acrylamide,15,15,0,6,SVHC / Candidate,FALSE,Q3: broad regulation & no ChEBI evidence
https://data.omgeving.vlaanderen.be/id/concept/chemical_substance/12405be4d5bb612d9586ceb0dda4f630,Methoxyacetic acid,15,12,3,4,SVHC / Candidate,TRUE,Q1: broad regulation & ChEBI hazard evidence
https://data.omgeving.vlaanderen.be/id/concept/chemical_substance/136089f77afe57123f406546637a63bc,1-vinylimidazole,15,15,0,6,SVHC / Candidate,FALSE,Q3: broad regulation & no ChEBI evidence
https://data.omgeving.vlaanderen.be/id/concept/chemical_substance/1962fc0a771d523e321c720d71f5b3ad,2-methylimidazole,15,15,0,6,SVHC / Candidate,FALSE,Q3: broad regulation & no ChEBI evidence
https://data.omgeving.vlaanderen.be/id/concept/chemical_substance/2512b253705853acaa75404b7950be94,Diboron trioxide,15,15,0,5,SVHC / Candidate,FALSE,Q3: broad regulation & no ChEBI evidence
https://data.omgeving.vlaanderen.be/id/concept/chemical_substance/750d7ccd4ad02e2f37781cb67c1d6cb5,Perfluamine,15,15,0,6,SVHC / Candidate,FALSE,Q3: broad regulation & no ChEBI evidence
https://data.omgeving.vlaanderen.be/id/concept/chemical_substance/7af937e908fbfb49877fe084a545b2d9,"2-Methoxyaniline, o-Anisidine",15,12,3,4,SVHC / Candidate,TRUE,Q1: broad regulation & ChEBI hazard evidence
https://data.omgeving.vlaanderen.be/id/concept/chemical_substance/8184690bf38c38f2a19271321759b4aa,o-toluidine,15,12,3,4,SVHC / Candidate,TRUE,Q1: broad regulation & ChEBI hazard evidence
https://data.omgeving.vlaanderen.be/id/concept/chemical_substance/851873be93e5c027c7f08cf292aac53f,"1,1'-(ethane-1,2-diyl)bis[pentabromobenzene]",15,15,0,6,SVHC / Candidate,FALSE,Q3: broad regulation & no ChEBI evidence
https://data.omgeving.vlaanderen.be/id/concept/chemical_substance/86ce6a53bc1bae09b071af1ce8f8dcba,Octamethyltrisiloxane,15,15,0,6,SVHC / Candidate,FALSE,Q3: broad regulation & no ChEBI evidence
https://data.omgeving.vlaanderen.be/id/concept/chemical_substance/990df8e63d3df482d2e9bcc891046165,"1,1,1,3,5,5,5-heptamethyl-3-[(trimethylsilyl)oxy]trisiloxane",15,15,0,6,SVHC / Candidate,FALSE,Q3: broad regulation & no ChEBI evidence
https://data.omgeving.vlaanderen.be/id/concept/chemical_substance/9f8544b265a261d3c7549b3ab0e54a9b,Benzo[def]chrysene,15,12,3,3,SVHC / Candidate,TRUE,Q1: broad regulation & ChEBI hazard evidence
https://data.omgeving.vlaanderen.be/id/concept/chemical_substance/b40ab2f9bfec6b313137d84cd4d62a0b,Ammonium pentadecafluorooctanoate,15,15,0,5,SVHC / Candidate,FALSE,Q3: broad regulation & no ChEBI evidence
https://data.omgeving.vlaanderen.be/id/concept/chemical_substance/b77c5df8ca21ec0a2abceab79f49bde6,"O,O,O-triphenyl phosphorothioate",15,15,0,6,SVHC / Candidate,FALSE,Q3: broad regulation & no ChEBI evidence
